Employee ID,Name,Local Job Title,Band (ASPL),Employment Details Hire Date,Gender,DCIO,Division,Department,Location,Employee Status,Date of Exit
1000001,Employee 01,Managing Director,VP,5/11/2012,Male,SLT,CORPFN,Corp.Func,Bangalore,Active,
1000002,Employee 02,Director,G,10/9/2012,Male,SLT,DEV,Corp.Func,Bangalore,Active,
1000003,Employee 03,Director,G,15/10/2012,Male,SLT,CORPFN,Corp.Func,Bangalore,Active,
1000004,Employee 04,Director,G,24/9/2012,Male,PRDTCH,AIS,Technology,Bangalore,Inactive,23/12/2019
1000005,Employee 05,Associate Manager,D,29/10/2012,Male,INFSEC,FLIGHT,Technology,Bangalore,Active,
1000006,Employee 06,Lead Consultant,C1,29/10/2012,Male,Flight,DEV,Technology,Bangalore,Inactive,9/12/2019
1000007,Employee 07,Lead Consultant,C1,29/10/2012,Male,PRDTCH,FLIGHT,Technology,Bangalore,Active,
1000008,Employee 08,Senior Consultant,B2,29/10/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,6/9/2016
1000009,Employee 09,Lead Consultant,C,29/10/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,27/9/2013
1000010,Employee 10,Lead Consultant,C,29/10/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,10/10/2014
1000011,Employee 11,Lead Consultant,C1,29/10/2012,Male,Flight,DEV,Technology,Bangalore,Active,
1000012,Employee 12,Senior Consultant,B2,29/10/2012,Male,PRDTCH,FLIGHT,Technology,Bangalore,Inactive,22/9/2020
1000013,Employee 13,Associate Manager,D,29/10/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,29/4/2021
1000014,Employee 14,Senior Team Leader,C2,29/10/2012,Female,Flight,DEV,Technology,Bangalore,Active,
1000015,Employee 15,Senior Lead Consultant,C2,29/10/2012,Female,SMCEAF,FLIGHT,Technology,Bangalore,Active,
1000016,Employee 16,Senior Consultant,B,29/10/2012,Female,Flight,DEV,Technology,Bangalore,Inactive,28/3/2013
1000017,Employee 17,Team Leader,C1,29/10/2012,Male,B2B,FLIGHT,Technology,Bangalore,Inactive,26/2/2016
1000018,Employee 18,Lead Consultant,C1,29/10/2012,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000019,Employee 19,Module Lead,C,29/10/2012,Male,Flight,DEV,Technology,Bangalore,Inactive,12/1/2014
1000020,Employee 20,Lead Consultant,C1,29/10/2012,Female,PRDTCH,FLIGHT,Technology,Bangalore,Inactive,21/10/2018
1000021,Employee 21,Lead Consultant,C1,29/10/2012,Male,Flight,DEV,Technology,Bangalore,Active,28/5/2021
1000022,Employee 22,Senior Consultant,B2,29/10/2012,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000023,Employee 23,Solution Designer,C,29/10/2012,Female,PO,FLIGHT,Technology,Bangalore,Inactive,2/4/2013
1000024,Employee 24,Senior Consultant,B2,29/10/2012,Male,Flight,CORPFN,Technology,Bangalore,Active,
1000025,Employee 25,Associate Principal Consultant,D,5/11/2012,Male,ARCHIT,DEV,Technology,Bangalore,Active,
1000026,Employee 26,Senior Lead Consultant,C2,5/11/2012,Male,SMCEAF,DEV,Technology,Bangalore,Active,
1000027,Employee 27,Senior Team Leader,C2,7/11/2012,Male,ESS,DEV,Technology,Bangalore,Active,
1000028,Employee 28,Senior Solution Designer,C2,7/11/2012,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,23/8/2016
1000029,Employee 29,Lead Consultant,C,12/11/2012,Male,PO,DEV,Technology,Bangalore,Inactive,21/8/2013
1000030,Employee 30,Associate Manager,D,18/7/2019,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000031,Employee 31,Lead Consultant,C1,19/11/2012,Male,ESS,DEV,Technology,Bangalore,Inactive,29/6/2015
1000032,Employee 32,Senior Consultant,B,19/11/2012,Female,PO,DEV,Technology,Bangalore,Inactive,18/10/2013
1000033,Employee 33,Consultant,B1,19/11/2012,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,17/8/2015
1000034,Employee 34,Lead Consultant,C1,20/11/2012,Female,,DEV,Technology,Bangalore,Inactive,12/8/2019
1000035,Employee 35,Solution Designer,C,28/11/2012,Male,PO,DEV,Technology,Bangalore,Inactive,26/6/2014
1000036,Employee 36,Senior Manager,F,3/12/2012,Female,ASPL,DART,Technology,Bangalore,Active,
1000037,Employee 37,Team Leader,C1,3/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,5/7/2016
1000038,Employee 38,Manager,E,3/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000039,Employee 39,Senior Team Leader,C2,3/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000040,Employee 40,Lead Consultant,C1,3/12/2012,Female,,DEV,Technology,Bangalore,Inactive,7/1/2019
1000041,Employee 41,Solution Designer,C,3/12/2012,Male,PO,DEV,Technology,Bangalore,Inactive,14/6/2013
1000042,Employee 42,Senior Consultant,B2,3/12/2012,Female,PMO,ATSV,Technology,Bangalore,Inactive,31/10/2019
1000043,Employee 43,Director,G,10/12/2012,Male,SLT,CORPFN,Corp.Func,Bangalore,Inactive,15/2/2021
1000044,Employee 44,Senior Solution Designer,C2,10/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,27/1/2019
1000045,Employee 45,Senior Team Leader,C2,10/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,13/3/2019
1000046,Employee 46,Senior Consultant,B,10/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,14/3/2013
1000047,Employee 47,Senior Consultant,B2,10/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,16/12/2015
1000048,Employee 48,Associate Manager,D,10/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000049,Employee 49,Associate Principal Consultant,D,10/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,31/3/2017
