,Local_Job_Title,Employment_Details_Hire_Date,Gender,Division,Department,Location,Employee_Status,Date_of_Exit,Latest_Date,Days_Worked_For,Days_Worked,Leaving,Hire_Year
0,Managing_Director,11/5/2012,Male,CORPFN,Corp.Func,Bangalore,Active,,18/5/2022,3481,,0,2012
1,Director,9/10/2012,Male,DEV,Corp.Func,Bangalore,Active,,18/5/2022,3537,,0,2012
2,Director,15/10/2012,Male,CORPFN,Corp.Func,Bangalore,Active,,18/5/2022,3502,,0,2012
3,Director,24/9/2012,Male,AIS,Technology,Bangalore,Inactive,23/12/2019,23/12/2019,2646,2646,1,2012
4,Associate_Manager,29/10/2012,Male,FLIGHT,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
5,Lead_Consultant,29/10/2012,Male,DEV,Technology,Bangalore,Inactive,12/9/2019,9/12/2019,2597,2597,1,2012
6,Lead_Consultant,29/10/2012,Male,FLIGHT,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
7,Senior_Consultant,29/10/2012,Male,FLIGHT,Technology,Bangalore,Inactive,9/6/2016,6/9/2016,1408,1408,1,2012
8,Lead_Consultant,29/10/2012,Male,FLIGHT,Technology,Bangalore,Inactive,27/9/2013,27/9/2013,333,333,1,2012
9,Lead_Consultant,29/10/2012,Male,FLIGHT,Technology,Bangalore,Inactive,10/10/2014,10/10/2014,711,711,1,2012
10,Lead_Consultant,29/10/2012,Male,DEV,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
11,Senior_Consultant,29/10/2012,Male,FLIGHT,Technology,Bangalore,Inactive,22/9/2020,22/9/2020,2885,2885,1,2012
12,Associate_Manager,29/10/2012,Female,FLIGHT,Technology,Bangalore,Inactive,29/4/2021,29/4/2021,3104,3104,1,2012
13,Senior_Team_Leader,29/10/2012,Female,DEV,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
14,Senior_Lead_Consultant,29/10/2012,Female,FLIGHT,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
15,Senior_Consultant,29/10/2012,Female,DEV,Technology,Bangalore,Inactive,28/3/2013,28/3/2013,150,150,1,2012
16,Team_Leader,29/10/2012,Male,FLIGHT,Technology,Bangalore,Inactive,26/2/2016,26/2/2016,1215,1215,1,2012
17,Lead_Consultant,29/10/2012,Female,FLIGHT,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
18,Module_Lead,29/10/2012,Male,DEV,Technology,Bangalore,Inactive,1/12/2014,12/1/2014,440,440,1,2012
19,Lead_Consultant,29/10/2012,Female,FLIGHT,Technology,Bangalore,Inactive,21/10/2018,21/10/2018,2183,2183,1,2012
20,Lead_Consultant,29/10/2012,Male,DEV,Technology,Bangalore,Active,28/5/2021,28/5/2021,3133,3133,1,2012
21,Senior_Consultant,29/10/2012,Male,DEV,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
22,Solution_Designer,29/10/2012,Female,FLIGHT,Technology,Bangalore,Inactive,4/2/2013,2/4/2013,155,155,1,2012
23,Senior_Consultant,29/10/2012,Male,CORPFN,Technology,Bangalore,Active,,18/5/2022,3488,,0,2012
24,Associate_Principal_Consultant,11/5/2012,Male,DEV,Technology,Bangalore,Active,,18/5/2022,3481,,0,2012
25,Senior_Lead_Consultant,11/5/2012,Male,DEV,Technology,Bangalore,Active,,18/5/2022,3481,,0,2012
26,Senior_Team_Leader,11/7/2012,Male,DEV,Technology,Bangalore,Active,,18/5/2022,3479,,0,2012
27,Senior_Solution_Designer,11/7/2012,Female,DEV,Technology,Bangalore,Inactive,23/8/2016,23/8/2016,1385,1385,1,2012
